label,lat,long
Backbone Food Farm — Mycology Division,39.40991,-79.406266
Mitchell's Mushroom Farm,40.428401,-79.697545
Fun-gal Farms,40.465624,-80.065611
Urban Spore,40.440697,-80.002567
Real Fungi,40.439995,-79.999021
Pennsylvania Mushroom Company,41.308396,-79.369766
EightFold Farms DC,38.895098,-77.036385
Amour Mushrooms,38.893847,-76.988043
Moon Valley Farm,39.51624,-76.938207
Mission Mushroom,37.123224,-78.492772
Windermere Farms,39.508644,-76.939539
The Bay Mushrooms,38.570053,-76.077268
Phillips Mushroom Farms,39.846741,-75.7117
South Mill Champs,39.852825,-75.713896
PA Mushroom Growers Association,39.855453,-75.711358
East End Food Co-op,40.448473,-79.993999
The Common Market,39.415779,-77.412756
Valley Co-op,39.643045,-77.719108
Mountain People's Co-op,39.629681,-79.955944
Lovettsville Cooperative Market,39.274772,-77.639309
Friends & Farmers Cooperative,40.79445,-77.861639
Harvest @ Broad Street Market,40.266311,-76.886112
Everything Natural Under The Sun,39.65265,-78.762383
Jar — Zero Waste Store & Refillery,39.657888,-78.755525
Pot Town Organics,39.658333,-78.928424
MOM's Organic Market (8 stores in range),39.518112,-76.943229
Hometown Harvest,39.412989,-77.405664
LIVWELL Organic Market,39.646519,-77.713348
Good Natured Collective,39.642145,-77.714392
Sunflowers Health Food Store,39.630995,-79.94797
Nature's Way Market,39.623651,-79.949032
Kuhn's Market,40.444495,-79.994323
OK Natural Food Store,39.290882,-76.610759
Wegmans community giving,39.517482,-76.945911
Sprouts Farmers Market,39.512046,-76.946019
Bedford Farm Bureau Co-op,40.018692,-78.503907
Sunnycrest Farm & Home Center,39.646214,-77.721718
Horstdale Farm Supply,39.650678,-77.720368
Ernst Grain & Livestock,39.644306,-77.714356
Promiseland Feed & Seed,39.505101,-77.566377
Farmers Cooperative Association,39.650839,-77.715436
Martin's Elevator,39.645277,-77.723392
Plant Path Nursery,39.424761,-77.420658
Ebyland LLC,39.64968,-78.759233
Meadows Farms — Frederick,39.408255,-77.411262
Stadler Garden Centers,39.521064,-76.932087
Mount Hope Farms,39.635287,-77.712466
Lovell's Nursery,39.64139,-77.711134
The Garden Patch,39.514188,-76.939413
Curated Flame,40.480069,-79.978386
Glass Gone Wow,40.436629,-79.996645
The Great Green Goat,39.522882,-76.945083
artifacts glass gallery,39.512748,-76.941987
Treehouse Glass,39.626639,-79.956466
Miss Perception's Glass,40.790256,-77.867849
FunkyPiece Smoke Shop & Glass Gallery,38.897141,-76.980015
